model,store,product,horizon,mase,smape,rmse,rmsle
Chronos-Bolt-Small,S005,P0008,28,0.6149,28.7422,30.9732,0.3632
Chronos-Bolt-Small,S005,P0009,28,0.7013,36.0966,41.1191,0.4417
Chronos-Bolt-Small,S005,P0010,28,0.6537,32.1252,46.9709,0.4177
Chronos-Bolt-Small,S005,P0011,28,0.9508,45.0031,47.1027,0.9313
Chronos-Bolt-Small,S005,P0012,28,1.2202,58.0241,48.1056,0.7156
Chronos-Bolt-Small,S005,P0013,28,0.634,38.0312,40.1747,0.5043
Chronos-Bolt-Small,S005,P0014,28,0.7487,36.2098,33.5484,0.8991
Chronos-Bolt-Small,S005,P0015,28,0.7049,35.7555,47.6813,0.5892
Chronos-Bolt-Small,S005,P0016,28,1.3508,82.0266,67.015,0.9523
Chronos-Bolt-Small,S005,P0017,28,0.9198,39.0376,48.1605,0.5244
Chronos-Bolt-Small,S005,P0018,28,0.6777,31.5643,33.7194,0.3725
Chronos-Bolt-Small,S005,P0019,28,0.9764,46.7786,39.7711,0.5748
Chronos-Bolt-Small,S005,P0020,28,0.7118,34.2964,30.8972,0.4108
